seed_record_id,seed_zinc_id,bidirectional_seed_id,task,pair_id,target_uniprot,offtarget_uniprot,branch,hotspot_bw,fast_target,fast_offtarget,fast_dd,detail_target_median,detail_offtarget_median,detail_dd_median,detail_dd_worst,detail_dd_sd,generated_compound_count
153_p41143_full::ZINC000021875214,ZINC000021875214,A6BD-0197,153_p41143_full,P41143__P41145,P41143,P41145,full,7.46x46,-7.161,-4.59,-2.571,-6.991,-5.688,-1.282,-1.260999999999999,0.093026877836462,2
155_p41145_full::ZINC000095461549,ZINC000095461549,A6BD-0200,155_p41145_full,P35372__P41145,P41145,P35372,full,3.50x50,-8.069,-4.932,-3.137,-7.984,-5.662,-2.315,-2.305,0.271559692639881,6
155_p41145_partial::ZINC000095461549,ZINC000095461549,A6BD-0200,155_p41145_partial,P35372__P41145,P41145,P35372,partial,3.50x50,-8.069,-4.932,-3.137,-7.984,-5.662,-2.315,-2.305,0.271559692639881,21
158_oprx_full::ZINC000741957071,ZINC000741957071,A6BD-0203,158_oprx_full,P41146__P48145,P41146,P48145,full,6.61x61,-8.353,-3.408,-4.945,-7.926,-4.386,-3.54,-2.944999999999999,0.314420454522638,1
158_oprx_partial::ZINC000741957071,ZINC000741957071,A6BD-0203,158_oprx_partial,P41146__P48145,P41146,P48145,partial,6.61x61,-8.353,-3.408,-4.945,-7.926,-4.386,-3.54,-2.944999999999999,0.314420454522638,3
15_adrb2_full::ZINC000009961080,ZINC000009961080,A6BD-0018,15_adrb2_full,P07550__P13945,P07550,P13945,full,7.39x38,-11.531,-6.062,-5.469,-11.909,-9.009,-2.9,-2.213999999999998,0.3645307485887399,14
161_ccr10_full::ZINC000585113179,ZINC000585113179,A6BD-0208,161_ccr10_full,P46092__P49682,P46092,P49682,full,3.35x35,-7.531,-3.822,-3.709,-7.732,-5.729,-1.963,-1.942,0.0784870831552698,5
161_ccr10_partial::ZINC000585113179,ZINC000585113179,A6BD-0208,161_ccr10_partial,P46092__P49682,P46092,P49682,partial,3.35x35,-7.531,-3.822,-3.709,-7.732,-5.729,-1.963,-1.942,0.0784870831552698,10
162_p46094_full::ZINC000509382812,ZINC000509382812,A6BD-0209,162_p46094_full,P32246__P46094,P46094,P32246,full,3.33x33,-10.123,-5.903,-4.22,-10.379,-6.135,-3.94,-3.819,0.178786651254132,7
162_p46094_partial::ZINC000509382812,ZINC000509382812,A6BD-0209,162_p46094_partial,P32246__P46094,P46094,P32246,partial,3.33x33,-10.123,-5.903,-4.22,-10.379,-6.135,-3.94,-3.819,0.178786651254132,6
163_xcr1_full::ZINC000767507573,ZINC000767507573,A6BD-0210,163_xcr1_full,P46094__P51677,P46094,P51677,full,6.59x59,-6.281,-3.598,-2.683,-6.488,-5.138,-1.47,-1.166,0.2167645932547311,1
163_xcr1_partial::ZINC000767507573,ZINC000767507573,A6BD-0210,163_xcr1_partial,P46094__P51677,P46094,P51677,partial,6.59x59,-6.281,-3.598,-2.683,-6.488,-5.138,-1.47,-1.166,0.2167645932547311,1
166_p46095_partial::ZINC001129121367,ZINC001129121367,A6BD-0213,166_p46095_partial,P46089__P46095,P46095,P46089,partial,7.43x42,-9.344,-5.512,-3.832,-9.125,-5.544,-3.604,-3.473,0.1143882278325299,1
168_p47775_full::ZINC000096520941,ZINC000096520941,A6BD-0215,168_p47775_full,P46095__P47775,P47775,P46095,full,7.43x42,-7.224,-4.245,-2.979,-7.215,-4.232,-2.978,-2.972,0.0152825245151302,29
16_adrb2_full::ZINC000306137492,ZINC000306137492,A6BD-0019,16_adrb2_full,P07550__P21728,P07550,P21728,full,3.30x30,-8.056,-4.633,-3.423,-8.138,-5.338,-2.81,-1.715999999999999,0.5595339330391167,31
170_p47898_partial::ZINC000730771216,ZINC000730771216,A6BD-0217,170_p47898_partial,P30939__P47898,P47898,P30939,partial,6.52x52,-7.598,-4.665,-2.933,-7.641,-5.033,-2.581,-1.309000000000001,0.60633397471104,4
171_mt1_partial::ZINC000016695074,ZINC000016695074,A6BD-0218,171_mt1_partial,P48039__P49286,P48039,P49286,partial,7.39x38,-9.143,-5.198,-3.945,-8.995,-6.11,-2.616000000000001,-2.293000000000001,0.2420179056736634,2
172_npbw1_partial::ZINC000429320588,ZINC000429320588,A6BD-0219,172_npbw1_partial,P48145__P48146,P48145,P48146,partial,6.33x33,-8.4,-4.88,-3.52,-8.062,-6.095,-1.967,-1.44,0.2906341724956348,1
174_p49019_full::ZINC000000666987,ZINC000000666987,A6BD-0221,174_p49019_full,P49019__Q9BXC0,P49019,Q9BXC0,full,6.48x48,-6.297,-4.562,-1.734999999999999,-6.375,-4.962,-1.414000000000001,-1.165,0.1272853312662365,1
174_p49019_partial::ZINC000000666987,ZINC000000666987,A6BD-0221,174_p49019_partial,P49019__Q9BXC0,P49019,Q9BXC0,partial,6.48x48,-6.297,-4.562,-1.734999999999999,-6.375,-4.962,-1.414000000000001,-1.165,0.1272853312662365,2
177_cx3c1_full::ZINC000745684968,ZINC000745684968,A6BD-0224,177_cx3c1_full,P49238__P51685,P49238,P51685,full,3.33x33,-7.269,-4.731,-2.538,-6.996,-5.516,-1.467,-1.03,0.4744079351032071,1
178_p49286_full::ZINC001164801225,ZINC001164801225,A6BD-0225,178_p49286_full,P48039__P49286,P49286,P48039,full,7.39x38,-8.66,-5.705,-2.955,-9.106,-6.173,-2.94,-2.697,0.118761198302401,1
178_p49286_partial::ZINC001164801225,ZINC001164801225,A6BD-0225,178_p49286_partial,P48039__P49286,P49286,P48039,partial,7.39x38,-8.66,-5.705,-2.955,-9.106,-6.173,-2.94,-2.697,0.118761198302401,5
179_p49682_full::ZINC000019289706,ZINC000019289706,A6BD-0226,179_p49682_full,P46092__P49682,P49682,P46092,full,3.35x35,-6.621,-4.997,-1.624000000000001,-6.582,-5.128,-1.454,-1.443,0.0654437841883313,1
180_p49682_full::ZINC000238953183,ZINC000238953183,A6BD-0227,180_p49682_full,P49238__P49682,P49682,P49238,full,3.29x29,-8.715,-4.762,-3.953,-8.259,-5.284,-2.975000000000001,-2.832,0.38371198689758,1
182_p50391_full::ZINC000253506777,ZINC000253506777,A6BD-0229,182_p50391_full,P25929__P50391,P50391,P25929,full,7.49x49,-8.459,-5.032,-3.427,-8.464,-5.079,-3.39,-3.354,0.0277768888746664,7
184_p50406_full::ZINC000743171812,ZINC000743171812,A6BD-0231,184_p50406_full,P21728__P50406,P50406,P21728,full,6.55x55,-9.555,-5.043,-4.512,-9.896,-5.775,-4.121,-3.686,0.2151097910886955,1
184_p50406_partial::ZINC000743171812,ZINC000743171812,A6BD-0231,184_p50406_partial,P21728__P50406,P50406,P21728,partial,6.55x55,-9.555,-5.043,-4.512,-9.896,-5.775,-4.121,-3.686,0.2151097910886955,1
185_p51677_partial::ZINC000466646546,ZINC000466646546,A6BD-0232,185_p51677_partial,O00421__P51677,P51677,O00421,partial,3.33x33,-8.086,-5.367,-2.719,-8.817,-5.867,-2.649,-2.594,0.2285582833521657,1
186_p51677_full::ZINC000003433763,ZINC000003433763,A6BD-0233,186_p51677_full,P32246__P51677,P51677,P32246,full,3.33x33,-8.069,-4.813,-3.256000000000001,-7.872,-4.5,-3.372,-3.047,0.1776194433801285,1
188_p51677_full::ZINC000767274592,ZINC000767274592,A6BD-0236,188_p51677_full,P51677__P51681,P51677,P51681,full,2.50x50,-7.199,-3.936,-3.263,-7.183,-5.196,-1.926,-1.829,0.1227635486978483,11
188_p51677_partial::ZINC000767274592,ZINC000767274592,A6BD-0236,188_p51677_partial,P51677__P51681,P51677,P51681,partial,2.50x50,-7.199,-3.936,-3.263,-7.183,-5.196,-1.926,-1.829,0.1227635486978483,8
189_ccr3_full::ZINC000732334074,ZINC000732334074,A6BD-0237,189_ccr3_full,P51677__P51685,P51677,P51685,full,3.33x33,-7.113,-4.104,-3.009,-7.414,-5.037,-2.482,-2.034,0.2419476527405603,1
18_p08172_full::ZINC000012148775,ZINC000012148775,A6BD-0022,18_p08172_full,P08172__P11229,P08172,P11229,full,2.68x67,-8.951,-4.917,-4.034,-9.233,-6.573,-2.66,-2.311,0.3274823150441358,30
190_p51679_full::ZINC000041124631,ZINC000041124631,A6BD-0238,190_p51679_full,P46094__P51679,P51679,P46094,full,2.46x46,-8.187,-5.353,-2.834,-8.04,-5.645,-2.395,-2.206,0.098975866867748,4
192_p51684_partial::ZINC000012855289,ZINC000012855289,A6BD-0241,192_p51684_partial,P25024__P51684,P51684,P25024,partial,4.64x65,-6.063,-3.659,-2.404,-6.724,-4.755,-1.969,-1.837,0.0685857127979292,1
193_p51685_full::ZINC000013881498,ZINC000013881498,A6BD-0243,193_p51685_full,P32246__P51685,P51685,P32246,full,7.46x46,-8.352,-5.186,-3.166,-8.345,-5.275,-3.107999999999999,-2.712,0.1995082844283804,2
197_gpr85_full::ZINC000019699437,ZINC000019699437,A6BD-0247,197_gpr85_full,P60893__Q9NS66,P60893,Q9NS66,full,6.58x58,-7.654,-4.776,-2.878,-7.724,-5.352,-2.42,-2.126,0.1451099200223364,5
199_q6nv75_partial::ZINC000509136960,ZINC000509136960,A6BD-0251,199_q6nv75_partial,Q16538__Q6NV75,Q6NV75,Q16538,partial,3.32x32,-7.493,-5.22,-2.273000000000001,-7.196,-5.923,-1.265,-1.25,0.0169377946878831,1
19_p08173_full::ZINC000020896786,ZINC000020896786,A6BD-0024,19_p08173_full,P08172__P08173,P08173,P08172,full,7.35x34,-9.646,-4.6,-5.046000000000001,-10.148,-5.696,-4.452999999999999,-4.387,0.3484683948684907,6
201_q8nfj6_partial::ZINC000004587950,ZINC000004587950,A6BD-0253,201_q8nfj6_partial,Q8NFJ6__Q8TCW9,Q8NFJ6,Q8TCW9,partial,7.49x49,-6.94,-5.282,-1.658,-7.005,-5.829,-1.176,-1.031000000000001,0.2377678606446955,1
202_q8tcw9_full::ZINC000217545274,ZINC000217545274,A6BD-0254,202_q8tcw9_full,Q8NFJ6__Q8TCW9,Q8TCW9,Q8NFJ6,full,7.49x49,-8.307,-5.266,-3.041,-8.276,-5.339,-2.940999999999999,-2.904,0.0202155056000748,1
202_q8tcw9_partial::ZINC000217545274,ZINC000217545274,A6BD-0254,202_q8tcw9_partial,Q8NFJ6__Q8TCW9,Q8TCW9,Q8NFJ6,partial,7.49x49,-8.307,-5.266,-3.041,-8.276,-5.339,-2.940999999999999,-2.904,0.0202155056000748,3
204_rxfp2_full::ZINC000732897319,ZINC000732897319,A6BD-0257,204_rxfp2_full,Q8WXD0__Q9HBX9,Q8WXD0,Q9HBX9,full,7.34x33,-9.425,-5.235,-4.19,-9.225,-6.109,-3.15,-2.763999999999999,0.1871084058922947,31
205_q92633_full::ZINC001469216235,ZINC001469216235,A6BD-0258,205_q92633_full,O95136__Q92633,Q92633,O95136,full,6.55x55,-9.315,-4.508,-4.806999999999999,-9.166,-5.199,-3.987999999999999,-3.967000000000001,0.018803073034894,40
205_q92633_partial::ZINC001469216235,ZINC001469216235,A6BD-0258,205_q92633_partial,O95136__Q92633,Q92633,O95136,partial,6.55x55,-9.315,-4.508,-4.806999999999999,-9.166,-5.199,-3.987999999999999,-3.967000000000001,0.018803073034894,9
206_q92633_full::ZINC001164857824,ZINC001164857824,A6BD-0259,206_q92633_full,P21453__Q92633,Q92633,P21453,full,6.58x58,-7.369,-4.64,-2.729,-7.355,-4.943,-2.412000000000001,-2.013,0.2234581740629678,2
20_p08173_full::ZINC000011859032,ZINC000011859032,A6BD-0025,20_p08173_full,P08173__P08588,P08173,P08588,full,7.42x41,-8.906,-5.082,-3.824,-8.93,-5.146,-3.784,-3.724000000000001,0.0514587213210734,6
20_p08173_partial::ZINC000011859032,ZINC000011859032,A6BD-0025,20_p08173_partial,P08173__P08588,P08173,P08588,partial,7.42x41,-8.906,-5.082,-3.824,-8.93,-5.146,-3.784,-3.724000000000001,0.0514587213210734,1
212_mrgx4_full::ZINC001493682829,ZINC001493682829,A6BD-0266,212_mrgx4_full,Q96LA9__Q96LB2,Q96LA9,Q96LB2,full,3.26x26,-8.167,-4.9,-3.267,-8.754,-6.632,-2.051000000000001,-1.678000000000001,0.2907832335071756,2
212_mrgx4_partial::ZINC001493682829,ZINC001493682829,A6BD-0266,212_mrgx4_partial,Q96LA9__Q96LB2,Q96LA9,Q96LB2,partial,3.26x26,-8.167,-4.9,-3.267,-8.754,-6.632,-2.051000000000001,-1.678000000000001,0.2907832335071756,9
214_q96lb2_full::ZINC000429161070,ZINC000429161070,A6BD-0268,214_q96lb2_full,Q96LA9__Q96LB2,Q96LB2,Q96LA9,full,3.26x26,-6.872,-3.813,-3.059,-6.954,-5.335,-1.614,-1.572,0.0237954243967663,2
216_q96ri8_full::ZINC001129003507,ZINC001129003507,A6BD-0271,216_q96ri8_full,O14804__Q96RI8,Q96RI8,O14804,full,3.43x43,-9.518,-5.873,-3.645000000000001,-9.542,-5.916,-3.588,-3.545000000000001,0.0409579730401238,1
21_p08173_full::ZINC000040379938,ZINC000040379938,A6BD-0026,21_p08173_full,P08173__P08912,P08173,P08912,full,2.50x50,-6.757,-4.443,-2.314,-6.725,-5.157,-1.51,-1.502,0.0670190685965983,1
21_p08173_partial::ZINC000040379938,ZINC000040379938,A6BD-0026,21_p08173_partial,P08173__P08912,P08173,P08912,partial,2.50x50,-6.757,-4.443,-2.314,-6.725,-5.157,-1.51,-1.502,0.0670190685965983,1
220_q96ri9_full::ZINC000306140500,ZINC000306140500,A6BD-0276,220_q96ri9_full,Q96RI9__Q96RJ0,Q96RI9,Q96RJ0,full,2.40x40,-9.275,-4.826,-4.449,-9.246,-5.86,-3.423999999999999,-3.386,0.1807435260866136,2
220_q96ri9_partial::ZINC000306140500,ZINC000306140500,A6BD-0276,220_q96ri9_partial,Q96RI9__Q96RJ0,Q96RI9,Q96RJ0,partial,2.40x40,-9.275,-4.826,-4.449,-9.246,-5.86,-3.423999999999999,-3.386,0.1807435260866136,7
222_q99500_full::ZINC001164778915,ZINC001164778915,A6BD-0278,222_q99500_full,O95136__Q99500,Q99500,O95136,full,1.60x60,-8.502,-5.125,-3.377000000000001,-8.536,-5.264,-3.241,-3.222,0.0737126553283458,1
225_q99677_partial::ZINC000169764024,ZINC000169764024,A6BD-0281,225_q99677_partial,Q99677__Q99678,Q99677,Q99678,partial,7.39x38,-11.2,-5.46,-5.74,-10.006,-5.401,-4.605,-4.540999999999999,0.0851873751731377,1
229_q9bxc0_full::ZINC000020738133,ZINC000020738133,A6BD-0286,229_q9bxc0_full,Q8TDS4__Q9BXC0,Q9BXC0,Q8TDS4,full,7.36x35,-8.29,-5.731,-2.558999999999999,-8.246,-6.15,-2.096,-1.652,0.2239508874731244,2
22_p08173_partial::ZINC000005441379,ZINC000005441379,A6BD-0027,22_p08173_partial,P08173__P11229,P08173,P11229,partial,7.35x34,-9.793,-6.404,-3.388999999999999,-9.513,-8.05,-1.414999999999999,-1.396999999999998,0.3479741369699772,1
232_q9h228_full::ZINC000769652945,ZINC000769652945,A6BD-0289,232_q9h228_full,O95136__Q9H228,Q9H228,O95136,full,3.33x33,-8.134,-5.036,-3.098000000000001,-8.229,-5.259,-2.978999999999999,-2.951000000000001,0.1428223449682232,13
