pair_id,rank,uniprot_a,name_a,uniprot_b,name_b,surface_distance,pair_terminal_status,seed_task_records,generated_compounds,final_selected_count,hotspot1_bw,hotspot1_residues,hotspot1_fp_diff,hotspot2_bw,hotspot2_residues,hotspot2_fp_diff,hotspot3_bw,hotspot3_residues,hotspot3_fp_diff
P0DMS8__P29275,93,P0DMS8,AA3R,P29275,AA2BR,0.768,selected,1,1,1,5.42x43,S181->N186,1.764,7.56x56,K285->R293,1.761,6.37x37,L232->L236,1.612
P08173__P20309,94,P08173,ACM4,P20309,ACM3,0.768,final_review_no_selection,1,1,0,2.50x50,D78->D114,2.864,7.46x46,S446->S537,2.464,2.53x53,I81->I117,1.722
P31391__P35346,95,P31391,SSR4,P35346,SSR5,0.768,final_review_no_selection,1,6,0,3.39x39,S133->S126,2.134,3.29x29,L123->M116,1.952,3.36x36,M130->Q123,1.669
P13945__P21728,96,P13945,ADRB3,P21728,DRD1,0.768,final_review_no_selection,1,2,0,3.25x25,C110->C96,1.507,1.56x56,A61->A47,1.481,6.51x51,F308->F288,1.471
Q9BZJ6__Q9Y5Y3,97,Q9BZJ6,GPR63,Q9Y5Y3,GPR45,0.769,final_review_no_selection,1,1,0,3.33x33,W162->W115,2.738,6.58x58,A337->S290,2.328,3.25x25,C154->C107,1.982
P11229__P21728,98,P11229,ACM1,P21728,DRD1,0.769,upstream_candidate_gate,0,0,0,2.68x67,G89->G88,1.866,3.32x32,D105->D103,1.686,3.29x29,L102->V100,1.667
P35346__P51677,99,P35346,SSR5,P51677,CCR3,0.769,direction_holds_only,0,0,0,6.59x59,L272->S263,2.36,7.39x38,V290->E287,1.723,6.61x61,V274->Q265,1.678
Q9GZQ6__Q9Y5X5,100,Q9GZQ6,NPFF1,Q9Y5X5,NPFF2,0.771,final_review_no_selection,1,1,0,2.68x67,T107->A211,1.827,7.44x43,F320->G426,1.71,7.42x41,A318->A424,1.66
P51677__P51685,101,P51677,CCR3,P51685,CCR8,0.771,final_review_no_selection,1,1,0,3.33x33,H114->Y114,2.37,1.31x31,M33->G34,2.019,3.29x29,S110->S110,1.962
P46094__P51679,102,P46094,XCR1,P51679,CCR4,0.771,selected,1,4,3,2.46x46,L73->L81,2.248,6.59x59,T249->T266,2.048,2.43x43,I70->L78,1.749
P25024__P51684,103,P25024,CXCR1,P51684,CCR6,0.771,selected,2,3,2,4.64x65,R175->N186,2.2,1.60x60,S67->Y74,1.777,1.56x56,V63->T70,1.72
P28221__P30939,104,P28221,5HT1D,P30939,5HT1F,0.772,final_review_no_selection,1,3,0,3.43x43,L129->L114,1.931,7.32x31,P335->E326,1.769,1.35x35,L41->V26,1.651
P28221__P28566,105,P28221,5HT1D,P28566,5HT1E,0.773,selected,1,1,1,7.49x49,N352->N340,1.626,6.58x58,L324->V314,1.533,1.28x28,L34->T18,1.496
Q9BPV8__Q9H244,106,Q9BPV8,P2Y13,Q9H244,P2Y12,0.773,upstream_candidate_gate,0,0,0,7.42x41,A306->T287,2.808,7.43x42,A307->S288,2.611,7.28x27,Q292->E273,2.282
P08908__P11229,107,P08908,5HT1A,P11229,ACM1,0.774,upstream_candidate_gate,0,0,0,6.59x59,P369->T389,2.249,3.38x38,S122->A111,1.848,3.29x29,I113->L102,1.776
P21462__P25090,108,P21462,FPR1,P25090,FPR2,0.776,selected,1,1,1,7.43x42,F291->F292,3.05,3.25x25,C98->C98,2.721,2.60x60,F81->L81,2.038
P08908__P35462,109,P08908,5HT1A,P35462,DRD3,0.777,upstream_candidate_gate,1,2,0,6.59x59,P369->T353,1.986,6.58x58,L368->N352,1.942,7.42x41,G389->G372,1.721
P11229__P20309,110,P11229,ACM1,P20309,ACM3,0.778,selected,3,18,3,7.46x46,S411->S537,2.126,2.53x53,I74->I117,1.932,2.50x50,D71->D114,1.926
O43603__P30872,111,O43603,GALR2,P30872,SSR1,0.778,final_review_no_selection,1,2,0,3.32x32,I105->D137,2.246,3.36x36,M109->M141,2.155,3.33x33,F106->A138,2.132
O00421__P32246,112,O00421,CCRL2,P32246,CCR1,0.781,upstream_candidate_gate,0,0,0,7.46x46,C293->C294,2.267,2.63x63,A97->Y93,1.983,1.31x31,S37->G33,1.78
P21728__P35348,113,P21728,DRD1,P35348,ADA1A,0.781,selected,2,7,3,3.53x53,A124->G127,1.982,2.43x43,V63->I65,1.945,4.60x60,P158->P161,1.917
P30559__P37288,114,P30559,OXYR,P37288,V1AR,0.782,direction_holds_only,0,0,0,6.51x51,F291->F307,2.277,3.37x37,F124->F136,2.254,7.36x35,I312->T331,2.082
O95136__Q92633,115,O95136,S1PR2,Q92633,LPAR1,0.782,final_review_no_selection,2,49,0,6.55x55,L253->L278,1.986,2.57x57,F86->Y102,1.819,6.58x58,D256->D281,1.672
P28336__P32247,116,P28336,NMBR,P32247,BRS3,0.782,selected,2,3,2,2.61x60,D100->D104,1.769,7.39x38,R310->R316,1.702,1.31x31,I42->A46,1.514
P32245__P33032,117,P32245,MC4R,P33032,MC5R,0.783,final_review_no_selection,2,5,0,3.43x43,L140->L133,1.833,6.54x54,H264->H257,1.713,4.60x60,F184->F177,1.647
O43603__P32745,118,O43603,GALR2,P32745,SSR3,0.783,final_review_no_selection,1,1,0,4.60x61,Y160->V178,1.918,3.37x37,H110->F128,1.816,6.37x37,I238->V259,1.787
Q99500__Q9H228,119,Q99500,S1PR3,Q9H228,S1PR5,0.783,upstream_candidate_gate,0,0,0,5.40x40,I197->V194,1.85,7.43x42,V288->M296,1.508,7.46x46,S291->S299,1.493
P21728__Q9Y5N1,120,P21728,DRD1,Q9Y5N1,HRH3,0.783,selected,3,31,3,3.32x32,D103->D114,1.719,3.46x46,I117->I128,1.657,2.46x46,L66->L76,1.58
P46095__P47775,121,P46095,GPR6,P47775,GPR12,0.783,selected,1,29,3,7.43x42,T319->T291,2.424,7.39x38,L315->L287,2.168,1.36x36,D76->D48,2.163
Q8NDV2__Q96P69,122,Q8NDV2,GPR26,Q96P69,GPR78,0.784,upstream_candidate_gate,0,0,0,5.58x58,Y192->S192,1.921,5.61x61,V195->V195,1.71,2.64x63,G66->G66,1.549
P35372__P41146,123,P35372,OPRM,P41146,OPRX,0.784,final_review_no_selection,2,19,0,2.50x50,D116->D97,2.397,3.50x50,R167->R148,1.765,7.46x46,S331->S312,1.67
P28221__P47898,124,P28221,5HT1D,P47898,5HT5A,0.785,final_review_no_selection,2,2,0,7.35x34,F338->K320,2.452,3.39x39,S125->S128,2.068,7.32x31,P335->A317,1.802
P35346__P35372,125,P35346,SSR5,P35372,OPRM,0.786,selected,1,2,2,3.39x39,S126->S156,2.187,2.50x50,D86->D116,2.161,3.25x25,C112->C142,1.935
P08912__P21728,126,P08912,ACM5,P21728,DRD1,0.786,selected,2,12,3,3.32x32,D110->D103,2.43,1.60x60,N58->F51,1.587,3.29x29,L107->V100,1.504
P21918__Q9Y5N1,127,P21918,DRD5,Q9Y5N1,HRH3,0.786,final_review_no_selection,1,9,0,5.46x461,S233->E206,1.591,2.40x40,N77->N70,1.564,3.50x50,R138->R132,1.527
P21462__P25089,128,P21462,FPR1,P25089,FPR3,0.787,selected,1,2,2,7.43x42,F291->F292,2.825,3.25x25,C98->C98,2.364,3.29x29,F102->H102,2.053
P08588__P50406,129,P08588,ADRB1,P50406,5HT6R,0.787,upstream_candidate_gate,0,0,0,2.61x60,G115->A83,1.7,6.55x55,N344->N288,1.59,6.58x58,K347->Q291,1.456
Q96RJ0__Q9P1P5,130,Q96RJ0,TAAR1,Q9P1P5,TAAR2,0.789,final_review_no_selection,1,1,0,6.52x52,F268->F279,2.486,2.40x40,N59->N79,2.246,6.48x48,W264->W275,2.035
P35346__P41143,131,P35346,SSR5,P41143,OPRD,0.789,upstream_candidate_gate,1,1,0,3.25x25,C112->C121,2.012,6.60x60,A273->L286,1.816,6.61x61,V274->V287,1.706
P34969__P35348,132,P34969,5HT7R,P35348,ADA1A,0.79,final_review_no_selection,1,4,0,2.43x43,I120->I65,3.241,3.53x53,G183->G127,2.644,2.40x40,N117->H62,2.437
P08173__P08588,133,P08173,ACM4,P08588,ADRB1,0.79,selected,3,9,2,7.42x41,C442->G366,1.761,3.29x29,L109->T135,1.673,7.43x42,Y443->Y367,1.64
P46093__Q15743,134,P46093,GPR4,Q15743,OGR1,0.79,direction_holds_only,0,0,0,2.60x60,W73->W77,2.482,2.43x43,L56->L60,2.402,1.31x31,D16->H20,2.213
P30874__P41145,135,P30874,SSR2,P41145,OPRK,0.792,final_review_no_selection,1,1,0,3.35x35,N125->N141,2.593,7.43x42,Y302->Y320,2.327,6.48x48,W269->W287,2.065
P21452__Q969F8,136,P21452,NK2R,Q969F8,KISSR,0.792,upstream_candidate_gate,0,0,0,2.49x49,A78->T87,1.687,3.37x37,F118->Q127,1.677,7.43x42,M297->Y313,1.605
P25021__P35346,137,P25021,HRH2,P35346,SSR5,0.793,direction_holds_only,0,0,0,2.50x50,D64->D86,2.736,3.25x25,C91->C112,2.315,7.46x46,S281->S297,1.893
P08588__P18089,138,P08588,ADRB1,P18089,ADA2B,0.793,direction_holds_only,0,0,0,2.53x53,M107->V61,2.211,6.55x55,N344->Y391,1.916,7.46x46,S370->S419,1.706
P35348__P35368,139,P35348,ADA1A,P35368,ADA1B,0.794,selected,1,14,1,3.53x53,G127->G146,2.267,2.39x39,T61->T80,1.817,7.36x35,K309->K331,1.575
O43603__P32238,140,O43603,GALR2,P32238,CCKAR,0.794,direction_holds_only,0,0,0,3.34x34,L107->T123,2.865,2.61x60,Q82->N98,2.401,6.58x58,V259->R336,2.051
Q9H3N8__Q9Y5N1,141,Q9H3N8,HRH4,Q9Y5N1,HRH3,0.794,upstream_candidate_gate,0,0,0,3.38x38,A100->S120,1.866,3.37x37,T99->T119,1.594,7.47x47,F352->A406,1.538
