uniprot,name,subfamily,surface_asset_count,surface_asset_bytes,core_assets_complete,nearest_neighbor,nearest_distance,selected_pair_count,public_raw_asset_status
P32239,GASR,,5,4887324,True,P32238,0.6653,1,pending_external_archive
P32245,MC4R,,5,3292300,True,P33032,0.7827,1,pending_external_archive
P32246,CCR1,,5,3675560,True,P51677,0.5872,7,pending_external_archive
P32247,BRS3,,5,4338892,True,P30550,0.6525,3,pending_external_archive
P32248,,,5,3895596,True,O00574,0.9343,0,pending_external_archive
P32249,,,5,3457348,True,Q9H1C0,0.8447,0,pending_external_archive
P32302,CXCR5,,5,3829372,True,P49682,0.7993,1,pending_external_archive
P32745,SSR3,,5,4562384,True,P30874,0.6917,4,pending_external_archive
P33032,MC5R,,5,3248820,True,P41968,0.7531,2,pending_external_archive
P34969,5HT7R,,5,5355600,True,P35348,0.7896,2,pending_external_archive
P34972,,,5,3540236,True,P25021,0.8945,0,pending_external_archive
P34981,,,5,4183748,True,O43193,0.8349,0,pending_external_archive
P34995,,,5,4338808,True,P43119,0.9132,0,pending_external_archive
P35346,SSR5,,5,3675596,True,P30874,0.6769,10,pending_external_archive
P35348,ADA1A,,5,5224784,True,P21728,0.7814,3,pending_external_archive
P35367,,,5,5906776,True,P14416,0.8056,0,pending_external_archive
P35368,ADA1B,,5,6291064,True,P25100,0.7034,2,pending_external_archive
P35372,OPRM,Opioid,5,4263724,True,P41145,0.6976,4,pending_external_archive
P35408,,,5,5662788,True,P25100,1.0097,0,pending_external_archive
P35410,,,5,4108556,True,Q96AM1,0.893,0,pending_external_archive
P35414,,,5,4015044,True,P32745,0.8369,0,pending_external_archive
P35462,DRD3,Dopamine_D2D3D4,5,4267644,True,P14416,0.718,3,pending_external_archive
P37288,V1AR,,5,4430384,True,P30559,0.7819,1,pending_external_archive
P41143,OPRD,Opioid,5,3608672,True,P41145,0.7046,4,pending_external_archive
P41145,OPRK,Opioid,5,3891820,True,P35372,0.6976,4,pending_external_archive
P41146,OPRX,Opioid,5,3674252,True,P41143,0.7491,3,pending_external_archive
P41231,,,5,3911820,True,Q9H1C0,0.8599,0,pending_external_archive
P41595,5HT2B,Serotonin_5HT2,5,5550252,True,P28223,0.6685,1,pending_external_archive
P41597,CCR2,Chemokine_canonical,5,3968232,True,P51681,0.6379,2,pending_external_archive
P41968,MC3R,,5,3266020,True,P33032,0.7531,1,pending_external_archive
P43088,,,5,3592640,True,P43115,0.9184,0,pending_external_archive
P43115,,,5,4086676,True,O60755,0.909,0,pending_external_archive
P43116,,,5,3584596,True,P43119,0.8619,0,pending_external_archive
P43119,,,5,3931340,True,P43116,0.8619,0,pending_external_archive
P43657,,,5,3288272,True,Q99677,0.8191,0,pending_external_archive
P46089,GPR3,,5,3221384,True,P46095,0.7099,1,pending_external_archive
P46091,,,5,3567260,True,P50052,0.8365,0,pending_external_archive
P46092,CCR10,,5,3780632,True,P49682,0.7977,1,pending_external_archive
P46093,GPR4,,5,3613900,True,Q15743,0.7903,1,pending_external_archive
P46094,XCR1,,5,3432532,True,P51677,0.7391,4,pending_external_archive
P46095,GPR6,,5,3673788,True,P46089,0.7099,2,pending_external_archive
P46663,,,5,3644880,True,P30411,0.8244,0,pending_external_archive
P47211,,,5,3521536,True,P30874,0.8294,0,pending_external_archive
P47775,GPR12,,5,3334740,True,P46095,0.7831,1,pending_external_archive
P47898,5HT5A,,5,3811260,True,P28221,0.7848,2,pending_external_archive
P47900,,,5,3567464,True,P51582,0.917,0,pending_external_archive
P47901,,,5,4816964,True,P30559,0.8364,0,pending_external_archive
P48039,MTR1A,Melatonin,5,3481708,True,P49286,0.754,1,pending_external_archive
P48145,NPBW1,,5,3266156,True,P48146,0.7194,2,pending_external_archive
P48146,NPBW2,,5,3282892,True,P48145,0.7194,1,pending_external_archive
P49019,HCAR3,,5,4079816,True,Q8TDS4,0.4685,2,pending_external_archive
P49146,,,5,3938976,True,P49683,0.827,0,pending_external_archive
P49238,CX3C1,,5,3699632,True,P51685,0.7606,3,pending_external_archive
P49286,MTR1B,Melatonin,5,3710272,True,P48039,0.754,1,pending_external_archive
P49682,CXCR3,,5,3835508,True,P49238,0.7625,4,pending_external_archive
P49683,,,5,3903296,True,P49146,0.827,0,pending_external_archive
P49685,,,5,3616120,True,P47211,0.8436,0,pending_external_archive
P50052,,,5,3672908,True,P25106,0.8073,0,pending_external_archive
P50391,NPY4R,,5,3958536,True,P25929,0.7969,1,pending_external_archive
P50406,5HT6R,,5,4929296,True,P21728,0.7573,2,pending_external_archive
P51582,,,5,3604952,True,Q96P68,0.8739,0,pending_external_archive
P51677,CCR3,,5,3626008,True,P32246,0.5872,6,pending_external_archive
P51679,CCR4,,5,3775080,True,P46094,0.771,1,pending_external_archive
P51681,CCR5,Chemokine_canonical,5,3629804,True,P41597,0.6379,3,pending_external_archive
P51684,CCR6,,5,3853204,True,P25024,0.7713,1,pending_external_archive
P51685,CCR8,,5,3684908,True,P32246,0.7053,5,pending_external_archive
P51686,,,5,3714704,True,P50052,0.838,0,pending_external_archive
P55085,,,5,3811968,True,P21730,0.9518,0,pending_external_archive
P60893,GPR85,,5,3757676,True,Q9NS66,0.6644,1,pending_external_archive
P61073,,,5,3618588,True,P51686,0.8438,0,pending_external_archive
Q01718,,,5,2958824,True,Q9P1P5,0.8614,0,pending_external_archive
Q01726,,,5,3079872,True,P32245,0.8211,0,pending_external_archive
Q13258,,,5,3543064,True,P43116,0.8746,0,pending_external_archive
Q13304,,,5,3695116,True,Q9UPC5,0.9705,0,pending_external_archive
Q13585,,,5,7430212,True,Q9Y5X5,1.0479,0,pending_external_archive
Q13639,5HT4R,,5,4036856,True,P25021,0.7524,1,pending_external_archive
Q14330,,,5,3130516,True,P43657,0.8522,0,pending_external_archive
Q14439,,,5,6236016,True,P28223,0.9451,0,pending_external_archive
Q15077,,,5,3094024,True,P41231,0.8651,0,pending_external_archive
Q15391,,,5,3307992,True,Q9BPV8,0.8172,0,pending_external_archive
Q15722,,,5,3518676,True,P49683,0.8497,0,pending_external_archive
Q15743,OGR1,,5,3604332,True,P46093,0.7903,1,pending_external_archive
Q15760,,,5,4580376,True,O43603,0.9031,0,pending_external_archive
Q15761,,,5,4984892,True,P21452,0.8555,0,pending_external_archive
Q16538,GP162,,5,7199104,True,Q6NV75,0.7386,1,pending_external_archive
Q16570,,,5,3343000,True,O00574,1.0159,0,pending_external_archive
Q16581,,,5,5666220,True,P32745,0.9178,0,pending_external_archive
Q49SQ1,,,5,3297580,True,P46091,0.9525,0,pending_external_archive
Q5NUL3,,,5,3671204,True,P49683,0.884,0,pending_external_archive
Q6DWJ6,,,5,3740220,True,Q969F8,0.9356,0,pending_external_archive
Q6NV75,GP153,,5,7355996,True,Q16538,0.7386,1,pending_external_archive
Q6U736,,,5,3585284,True,O14718,0.8753,0,pending_external_archive
Q6W5P4,,,5,4010840,True,P30559,0.8919,0,pending_external_archive
Q7Z601,,,5,5614852,True,P08588,0.8821,0,pending_external_archive
Q7Z602,,,5,3078028,True,Q01726,1.0642,0,pending_external_archive
Q86SM5,,,5,2685480,True,Q86SM8,0.8312,0,pending_external_archive
Q86SM8,,,5,2981816,True,Q86SM5,0.8312,0,pending_external_archive
Q86SP6,,,5,9527836,True,P25100,1.0481,0,pending_external_archive
Q86VZ1,,,5,3483280,True,P41143,0.9198,0,pending_external_archive
Q8IYL9,,,5,3213756,True,Q9BXC1,0.9464,0,pending_external_archive
Q8IZ08,,,5,5325964,True,P32239,0.9184,0,pending_external_archive
Q8N6U8,,,5,5875564,True,P08908,0.9183,0,pending_external_archive
Q8NDV2,GPR26,,5,3154328,True,Q96P69,0.7836,1,pending_external_archive
Q8NFJ6,PKR2,,5,4120732,True,Q8TCW9,0.4796,1,pending_external_archive
Q8NGU9,,,5,4985144,True,P30518,0.8962,0,pending_external_archive
Q8TCW9,PKR1,,5,4204888,True,Q8NFJ6,0.4796,1,pending_external_archive
Q8TDS4,HCAR2,,5,3673616,True,P49019,0.4685,2,pending_external_archive
Q8TDS5,,,5,3710992,True,Q6W5P4,1.8024,0,pending_external_archive
Q8TDS7,,,5,3116492,True,Q96LB2,0.8898,0,pending_external_archive
Q8TDT2,,,5,5370428,True,P08588,1.0019,0,pending_external_archive
Q8TDU6,,,5,3261376,True,Q8NFJ6,0.9553,0,pending_external_archive
Q8TDU9,,,5,3822240,True,P25106,0.9234,0,pending_external_archive
Q8TDV0,,,5,4449532,True,P35346,0.947,0,pending_external_archive
Q8TDV2,,,5,3737320,True,,,0,pending_external_archive
Q8TDV5,,,5,3283668,True,P0DMS8,0.9485,0,pending_external_archive
Q8WXD0,RXFP2,,5,7099496,True,Q9HBX9,0.796,1,pending_external_archive
Q92633,LPAR1,LPA,5,3703204,True,Q9UBY5,0.6741,4,pending_external_archive
Q92847,,,5,3786748,True,P25929,0.8287,0,pending_external_archive
Q969F8,KISSR,,5,4227532,True,P21452,0.7924,1,pending_external_archive
Q969N4,TAAR8,,5,3199516,True,Q96RI8,0.5875,3,pending_external_archive
Q969V1,,,5,3382200,True,P0DMS8,0.979,0,pending_external_archive
Q96AM1,,,5,3491028,True,P35410,0.893,0,pending_external_archive
Q96CH1,,,5,3351744,True,P32245,0.9998,0,pending_external_archive
Q96G91,,,5,3657716,True,P51582,0.9031,0,pending_external_archive
Q96LA9,MRGX4,,5,3332832,True,Q96LB2,0.7268,1,pending_external_archive
Q96LB0,MRGX3,,5,3410196,True,Q96LB2,0.6888,1,pending_external_archive
Q96LB1,,,5,3275724,True,Q96LB2,0.8496,0,pending_external_archive
Q96LB2,MRGX1,,5,3245984,True,Q96LB0,0.6888,2,pending_external_archive
Q96P65,,,5,4707540,True,P50391,0.8458,0,pending_external_archive
Q96P66,,,5,5939352,True,P08913,0.8738,0,pending_external_archive
Q96P67,,,5,3186628,True,O00155,1.0018,0,pending_external_archive
Q96P68,,,5,3109284,True,P51582,0.8739,0,pending_external_archive
Q96P69,GPR78,,5,3550632,True,Q8NDV2,0.7836,1,pending_external_archive
Q96RI0,,,5,3677792,True,P25116,0.8335,0,pending_external_archive
Q96RI8,TAAR6,,5,3164580,True,Q969N4,0.5875,3,pending_external_archive
Q96RI9,TAAR9,,5,3375840,True,Q96RI8,0.6259,3,pending_external_archive
Q96RJ0,TAAR1,,5,3169912,True,Q9P1P5,0.789,2,pending_external_archive
Q99463,,,5,3154844,True,P25929,1.0549,0,pending_external_archive
Q99500,S1PR3,S1P,5,4002424,True,P21453,0.701,3,pending_external_archive
Q99527,,,5,3868444,True,P34981,0.8891,0,pending_external_archive
Q99677,LPAR4,,5,3754440,True,Q99678,0.7981,1,pending_external_archive
Q99678,GPR20,,5,3607904,True,Q99677,0.7981,1,pending_external_archive
Q99679,GPR21,,5,3369352,True,Q9Y2T5,0.5566,1,pending_external_archive
Q99680,,,5,4709484,True,P25103,0.9146,0,pending_external_archive
Q99705,,,5,3406940,True,Q9BXA5,2.0211,0,pending_external_archive
Q99788,,,5,3818476,True,P51685,0.8218,0,pending_external_archive
Q9BPV8,P2Y13,,5,3631480,True,Q9H244,0.7729,1,pending_external_archive
Q9BXA5,,,5,3019372,True,Q9BXC1,0.9663,0,pending_external_archive
Q9BXB1,,,5,9082816,True,O75473,1.1035,0,pending_external_archive
Q9BXC0,HCAR1,,5,3525372,True,Q8TDS4,0.7214,2,pending_external_archive
Q9BXC1,,,5,3228132,True,O00398,0.8646,0,pending_external_archive
Q9BY21,,,5,3701316,True,Q99677,0.8805,0,pending_external_archive
Q9BZJ6,GPR63,,5,4570684,True,Q9Y5Y3,0.7686,1,pending_external_archive
Q9BZJ7,,,5,3799952,True,Q9BZJ8,0.8978,0,pending_external_archive
Q9BZJ8,,,5,5204560,True,P08908,0.8633,0,pending_external_archive
Q9GZN0,,,5,4008208,True,P46095,0.9461,0,pending_external_archive
Q9GZQ4,,,5,4441068,True,Q9HB89,0.8498,0,pending_external_archive
Q9GZQ6,NPFF1,,5,4825408,True,Q9Y5X5,0.7707,1,pending_external_archive
Q9H1C0,,,5,3675320,True,P30872,0.8041,0,pending_external_archive
Q9H1Y3,,,5,4274416,True,Q9UHM6,0.9394,0,pending_external_archive
Q9H228,S1PR5,,5,4138996,True,O95136,0.7303,2,pending_external_archive
Q9H244,P2Y12,,5,3473276,True,Q9BPV8,0.7729,1,pending_external_archive
Q9H3N8,HRH4,,5,4240224,True,Q9Y5N1,0.7944,1,pending_external_archive
Q9HB89,,,5,4470928,True,Q92847,0.8466,0,pending_external_archive
Q9HBW0,LPAR2,LPA,5,3421256,True,Q92633,0.7946,1,pending_external_archive
Q9HBX8,,,5,9469756,True,O75473,0.8838,0,pending_external_archive
Q9HBX9,RXFP1,,5,7256096,True,Q8WXD0,0.796,1,pending_external_archive
Q9HC97,,,5,2983844,True,P25105,0.9392,0,pending_external_archive
Q9NPB9,ACKR4,,5,3639420,True,P49682,0.7625,1,pending_external_archive
Q9NPC1,,,5,3513044,True,Q15722,0.8733,0,pending_external_archive
Q9NQS5,,,5,4045680,True,P49286,0.8689,0,pending_external_archive
Q9NS66,GP173,,5,3733848,True,P60893,0.6644,1,pending_external_archive
Q9NS67,,,5,3846060,True,P30872,0.9057,0,pending_external_archive
Q9NS75,,,5,3452456,True,O00574,0.8229,0,pending_external_archive
Q9NSD7,,,5,5015976,True,P35346,0.8135,0,pending_external_archive
Q9NYM4,,,5,4799700,True,P32247,0.805,0,pending_external_archive
Q9P1P4,,,5,3392164,True,Q9P1P5,0.8257,0,pending_external_archive
Q9P1P5,TAAR2,,5,3379572,True,Q96RJ0,0.789,1,pending_external_archive
Q9P296,,,5,3346912,True,P46092,0.8719,0,pending_external_archive
Q9UBY5,LPAR3,LPA,5,3594476,True,Q92633,0.6741,1,pending_external_archive
Q9UHM6,,,5,5393880,True,Q9H1Y3,0.9394,0,pending_external_archive
Q9UJ42,,,5,3650380,True,P35346,1.2641,0,pending_external_archive
Q9UKP6,,,5,4146624,True,P35346,0.8617,0,pending_external_archive
Q9UNW8,,,5,3882812,True,Q15743,0.8248,0,pending_external_archive
Q9UPC5,,,5,4038184,True,Q8TDS4,0.903,0,pending_external_archive
Q9Y271,,,5,3299372,True,P51684,0.8741,0,pending_external_archive
Q9Y2T5,GPR52,,5,3561572,True,Q99679,0.5566,1,pending_external_archive
Q9Y2T6,,,5,3090588,True,O14842,0.9028,0,pending_external_archive
Q9Y5N1,HRH3,,5,4913464,True,P21728,0.7831,3,pending_external_archive
Q9Y5X5,NPFF2,,5,6331932,True,Q9GZQ6,0.7707,1,pending_external_archive
Q9Y5Y3,GPR45,,5,3733744,True,Q9BZJ6,0.7686,1,pending_external_archive
Q9Y5Y4,,,5,3988392,True,O60755,0.8642,0,pending_external_archive
